Record Date,FEI Number,Legal Name,Record Type,Date Posted,Download,Record ID
2016-11-22,1450114,"Rising Pharma Holdings, Inc.",483,2024-01-17,https://www.fda.gov/media/101132/download,269640
2017-10-13,1450114,"Rising Pharma Holdings, Inc.",483,2024-01-17,https://www.fda.gov/media/108066/download,269475
2017-10-13,1450114,"Rising Pharma Holdings, Inc.",483,2024-01-17,https://www.fda.gov/media/108230/download,269473
2015-07-10,1473043,American Red Cross Blood Services Heart of America Region,483,2024-01-17,https://www.fda.gov/media/79371/download,270289
2015-07-11,1473043,American Red Cross Blood Services Heart of America Region,483,2024-01-17,https://www.fda.gov/media/82874/download,269325
2018-05-04,1480280,Nutripack LLC,483,2024-01-17,https://www.fda.gov/media/103072/download,269603
2015-07-11,1519257,Ben Venue Laboratories Inc,483,2024-01-17,https://www.fda.gov/media/82039/download,270216
2015-07-11,1519257,Ben Venue Laboratories Inc,483,2024-01-17,https://www.fda.gov/media/82042/download,270218
2015-07-10,1520332,"Cooper Farms, Inc.",483,2024-01-17,https://www.fda.gov/media/83516/download,270082
2018-03-02,1525965,Philips Medical Systems (Cleveland) Inc,483,2024-01-17,https://www.fda.gov/media/111401/download,269433
2015-07-11,1526383,Trillium Farm Holdings LLC,483,2024-01-17,https://www.fda.gov/media/79772/download,270148
2015-07-17,1526383,Trillium Farm Holdings LLC,483,2024-01-17,https://www.fda.gov/media/79763/download,270208
2016-09-30,1530045,Crosbys Drugs Inc,483,2024-01-17,https://www.fda.gov/media/100419/download,269645
2015-07-11,1573019,The American National Red Cross,483,2024-01-17,https://www.fda.gov/media/82934/download,269327
2015-07-23,1621802,"OKC Allergy Supplies, Inc.",483,2024-01-17,https://www.fda.gov/media/87719/download,269920
2015-07-10,1628454,ICU Medical Inc,483,2024-01-17,https://www.fda.gov/media/85924/download,270327
2015-07-23,1640846,"Duran and Sons, LLC",483,2024-01-17,https://www.fda.gov/media/79536/download,269899
2015-07-10,1673040,American National Red Cross Blood Services SW Region,483,2024-01-17,https://www.fda.gov/media/82925/download,270127
2015-07-17,1682009,"Blue Bell Creameries, L.P.",483,2024-01-17,https://www.fda.gov/media/92059/download,270033
2015-07-23,1682009,"Blue Bell Creameries, L.P.",483,2024-01-17,https://www.fda.gov/media/92071/download,269937
2015-07-10,1713910,"Edwards Lifesciences, LLC",483,2024-01-17,https://www.fda.gov/media/88453/download,270049
2015-07-17,1717759,Sandoz Incorporated,483,2024-01-17,https://www.fda.gov/media/81871/download,270224
2015-07-11,1718873,"Utah Medical Products, Inc",483,2024-01-17,https://www.fda.gov/media/70127/download,270247
2015-07-11,1718873,"Utah Medical Products, Inc",483,2024-01-17,https://www.fda.gov/media/70158/download,269332
2015-07-11,1718873,"Utah Medical Products, Inc",483,2024-01-17,https://www.fda.gov/media/70184/download,270248
2015-07-23,1718873,"Utah Medical Products, Inc",483,2024-01-17,https://www.fda.gov/media/70202/download,269911
2015-07-10,1810189,Pharmacia & Upjohn Company LLC,483,2024-01-17,https://www.fda.gov/media/88106/download,270337
2016-05-06,1811396,"Catalent Pharma Solutions, LLC",483,2024-01-17,https://www.fda.gov/media/97294/download,269721
2015-07-10,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78964/download,270280
2015-07-10,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78970/download,270281
2015-07-10,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78978/download,270282
2015-07-10,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78999/download,270285
2015-07-11,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/78987/download,269346
2015-07-23,1811666,L. Perrigo Company,483,2024-01-17,https://www.fda.gov/media/79088/download,269938
2015-07-11,1811755,Stryker Corporation,483,2024-01-17,https://www.fda.gov/media/77356/download,270168
2015-07-11,1811755,Stryker Corporation,483,2024-01-17,https://www.fda.gov/media/77380/download,269341
